Mensahe di Pasco di Gobernador di Aruba 2019	Governor’s Christmas speech 2019
E Plan Nacional pa atende cu cachonan di caya porfin a bira realidad	The national plan to address the problem of stray dogs finally came to fruition
Despues a introduci ley di cacho 5 aña pasa, awor tin un maneho concreto pa atende cu cachonan di caya	After the introduction of the dog ordinance 5 years ago, now there is a concrete policy to deal with stray dogs
Ta elimina Killcage y ta crea Dog Act Shelter	The kill cage will be eliminated and a dog act shelter will be created
 Cu e maneho aki ta bin tambe campañanan di sterilisacion pero principalmente di conscientisacion pa doñonan di cacho sa nan responsabilidad como cuidadonan di cacho	This policy will also be accompanied with sterilization campaigns, but primarily with awareness campaigns for dog owners to know their responsibility as caretakers of their dogs
Prome cu dicidi pa tuma un cacho of un puppy of cualkier animal domestico, mester realisa cu tin hopi responsabilidad cu`ne: cuminda adecuado, cuido veterinario, gasto pa no contribui cu mas cacho riba caya (steriliza of capa)	Before you decide to get a dog or puppy or any house pets, you must realize that it carries a lot of responsibility, among other: Adequate food, vet care, costs regarding population control of strays (sterilize or neuter)
E forma con ta mata bestia na e kill cage ta totalmente inaceptabel	The way animals are killed in the kill cage is very unacceptable
por tin varios persona kendenan lo bisa cu tin hopi otro tema cu mester haya prioridad den nos pais awor aki	 Some people will say that there are other topics that require priority right now on our island
 Esaki ta berdad, pero nos no por sigui tolera e forma cruel cu e kill cage ta opera	 This is true; however, we can no longer tolerate the cruel way the kill cage operates
Prome Minister Evelyn Wever-Croes a cita e dicho di e gran Mahatma Ghandi kende a yega di bisa: “E grandesa di un nacion por wordo husga na e forma cu e animalnan den e nacion ta wordo trata	Prime Minister Evelyn Wever-Croes cited the quote of the great Mahatma Gandhi, who once said, “The greatness of a nation can be judged by the way its animals are treated”
Prome Minister a gradici Irene Croes y Dellanire Maduro kendenan a traha duro pa asina e Plan Nacional keda cla	Prime Minister expresses her thanks to Irene Croes and Dellanire Maduro who worked hard for the plan to be completed
Tambe Prome Minister a gradici Ministernan Dangui Oduber, Andin Bikker y Otmar Oduber pa e cooperacion den esaki	The Prime Minister also thanks the Ministers Dangui Oduber, Andin Bikker and Otmar Oduber for their cooperation in the foregoing
Macutu di compras 29 di juni 2019	Price comparison June 29, 2019
Regularmente Departamento di Asunto Economico ta haci un observacion di prijs den diferente supermercado y ta publica esaki den corantnan local	The Department of Economic Affairs regularly carries out price comparison in various supermarkets on Aruba and publishes this information in the local newspapers
E meta ta pa yuda e consumidor haya un comparacion di prijs di diferente producto basico	The purpose of this price observation is among others to give the consumer an overview of the price differences of various basic consumer goods
Den e documento adhunto “macutu di compras 29 di juni 2019” por mira e observacion di prijs cu a tuma luga entre 25 y 26 di juni 2019	In the attached document "macuto di compras June 29, 2019" you will find the price comparison that was made on June 25 and 26, 2019
Stof di Sahara y su efecto riba bo salud	Sahara dust and its effects on your health
E fenomeno di naturalesa aki no ta nada nobo, eta sosode na mas cu un ocasion pa aña na momento cu e stof di Sahara ta transporta atrabes di aire pa nos region	This is natural phenomenon is nothing new, since it already did happen on more than one occasion per year when dry dust plume from the Sahara funnels its way toward our region
Cu yegada di e stof aki, nos por experencia aumento den kehonan relaciona cu malesanan respiratorio	With the arrival of this dust, one can experience an increase in respiratory diseases
Esaki debi cu e aire ta consisti di hopi mas stof cu normal	This is because the air consists of more dust than usual
Esnan cu ta sufri di malesanan respiratorio manera broncitis, alergia of sinus por presencia aumento den nan sintomanan manera	Persons who suffer from respiratory diseases like bronchitis, allergies or sinus will experience an increase in symptoms like
dificultad pa hala rosea	Difficulties to breathe
presion den pecho	Chest pressure
hopi tosamento	Lots of coughing
grawatamento di cuero y wowo	Itchy skin and eyes
Stof di Sahara ta ocasiona tambe cu tempo ta bira mas calor pa cual motibo ta recomenda pa bebe mas likido durante dia pa tene e curpa hidrata	The Sahara dust can also cause an increase in temperature; therefore, it is advisable to drink more water during the day to keep your body hydrated
Departamento di Salud Publico ta conseha tur persona cu ta sufri di un of otro malesa respiratorio pa percura pa tin nan medicamentonan na nan alcanse na tur momento y tuma esaki nan manera dokter ta prescribi	The Department of Public Health advises all persons that suffer from a respiratory disease to have their medications at hand at all times and to take them as prescribed by your physicians
Evita di haci actividad fisico den aire liber y si tuma nota cu e sintomanan ta empeora, tuma contacto cu bo dokter di cas pa un consulta	Avoid physical activities outside and if you notice that your symptoms are getting worse, contact your physician
1 di augustus 2019 - Ultimo oportunidad pa entrega ‘verzamelloonstaat’ y ‘verzamelstaat opgaaf derden’ di aña 2018	August 1, 2019- Deadline for submitting a collective wage sheet and collective statement for third parties 2018 
E contribuyentenan cu ainda tin cu entrega e lista colectivo di salario y e lista colectivo di pago na tercera persona di aña 2018 tin e oportunidad pa haci esaki te cu 1 di augustus 2019	 customers who have not yet submitted the collective wage statement and summary statement third parties 2018 will be extended have until August 1 2019 to do so
Asina por duna e contribuyentenan aki espacio pa por cumpli cu e obligacion aki	This gives customers more time to meet this obligation
E boet pa incumplimento ta maximo Afl. 10.000 y esaki no ta necesario si cumpli cu e entregamento na tempo	The maximum fine for non-compliance with this obligation is Awg. 10,000.00 and is not necessary if you hand in these lists in time
Minister Ruiz-Maduro a reuni cu sr. Pascal Thierry Clivaz di Universal Postal Union	Minister Ruiz-Maduro met with Pascal Thierry Clivaz of Universal Postal Union
Recientemente Minister Ruiz-Maduro a reuni cu sr. Pascal Thierry Clivaz director suplente di Universal Postal Union (UPU)	Minister Ruiz-Maduro recently met with the interim director of the Universal Postal Union (UPU), Mr Pascal Thierry Clivaz
 UPU ta e agencia intergubernamental specialisa di Nacionnan Uni cu ta percura pa coordina e maneho postal di e Paisnan miembro y tambe pa e sistema di post cu ta uza na henter mundo	The UPU is a specialized intergovernmental agency of the United Nations that coordinates postal management for member countries and the postal system used worldwide
Tabata un bishita ameno y hopi informativo den cual Sr.Clivaz a splica riba e beneficionnan cu UPU ta ofrece na su miembronan, e retonan cu ta vislumbra y e oportunidadnan cu esaki ta trece cune	The meeting was very productive, in which Mr. Clivaz explained the benefits that are provided by the UPU to their members, the challenges and opportunities all of this creates
Sr. Thierry Clivaz a splica cu UPU no solamente ta percura pa e sistema postal por traha eficientemente, pero tambe ta concentra riba inclucion financiero brindando acceso financiero na esnan cu dificilmente por tin acceso na servicio financiero	Mr. Thierry Clivaz also explained that the UPU does not only provides an efficient postal system but also focusses on the financial inclusion providing financial access to all who struggle to get access to financial services
